name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Jimmy Butler","Minnesota Timberwolves",2017-10-18,2017,6430,1610612750,400974440,3,11,19,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",-5,5,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-12-31,2017,0,1610612750,0,1,5,50,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Indiana Pacers",8,6,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-12-06,2017,6430,1610612750,400975113,2,6,47,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",-14,11,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-10-27,2017,6430,1610612750,400974825,1,8,08,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",7,15,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-11-29,2017,6430,1610612750,400975060,2,3,46,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",12,8,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2018-02-11,2017,6430,1610612750,400975584,3,10,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",5,4,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2018-01-01,2017,6430,1610612750,400975294,1,9,58,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,5,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-12-20,2017,6430,1610612750,400975213,1,7,08,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Denver Nuggets",-4,17,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-10-30,2017,6430,1610612750,400974844,2,1,14,1,"Alley Oop Layup shot","2PT Field Goal",5,"Miami Heat",-50,32,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-11-22,2017,6430,1610612750,400975012,2,6,48,1,"Alley Oop Layup shot","2PT Field Goal",1,"Orlando Magic",8,11,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2018-01-29,2017,6430,1610612750,400975485,2,3,03,1,"Alley Oop Layup shot","2PT Field Goal",0,"Atlanta Hawks",-1,4,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-11-11,2017,6430,1610612750,400974937,4,6,12,1,"Alley Oop Layup shot","2PT Field Goal",1,"Phoenix Suns",-5,-10,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-12-06,2017,6430,1610612750,400975113,2,10,36,1,"Alley Oop Layup shot","2PT Field Goal",1,"Los Angeles Clippers",15,4,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-11-26,2017,6430,1610612750,400975039,4,5,50,1,"Alley Oop Layup shot","2PT Field Goal",1,"Phoenix Suns",17,9,0,0.00,,0.00,0.00
