name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Joel Embiid","Philadelphia 76ers",2018-02-09,2017,3059318,1610612755,400975564,1,6,18,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",3,16,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-10-30,2017,3059318,1610612755,400974846,2,2,58,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Houston Rockets",-9,17,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-26,2017,3059318,1610612755,400975851,4,5,16,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Denver Nuggets",3,16,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-09,2017,3059318,1610612755,400975564,3,9,59,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",4,17,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-04,2017,3059318,1610612755,400975693,2,10,55,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",3,14,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-10-28,2017,3059318,1610612755,400974832,3,9,05,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",-3,0,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-11,2017,3059318,1610612755,400975360,3,2,49,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Boston Celtics",-13,22,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-03,2017,3059318,1610612755,400975301,3,8,08,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"San Antonio Spurs",9,5,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-27,2017,3059318,1610612755,400975655,3,9,29,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Miami Heat",-9,9,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-28,2017,3059318,1610612755,400975482,3,8,10,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",7,8,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-27,2017,3059318,1610612755,400975042,2,3,18,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",6,0,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-03,2017,3059318,1610612755,400974872,4,2,45,0,"Alley Oop Dunk Shot","2PT Field Goal",2,"Indiana Pacers",-10,19,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-01,2017,3059318,1610612755,400975669,2,1,03,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",6,1,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-10-23,2017,3059318,1610612755,400974792,3,2,57,1,"Alley Oop Layup shot","2PT Field Goal",1,"Detroit Pistons",-5,16,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-11,2017,3059318,1610612755,400974935,4,9,57,1,"Alley Oop Layup shot","2PT Field Goal",0,"Golden State Warriors",-5,5,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-20,2017,3059318,1610612755,400975424,4,3,51,1,"Cutting Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",2,11,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-10-18,2017,3059318,1610612755,400974439,4,5,05,1,"Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",-1,5,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-25,2017,3059318,1610612755,400975641,1,6,27,1,"Cutting Dunk Shot","2PT Field Goal",1,"Washington Wizards",2,13,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-13,2017,3059318,1610612755,400974951,3,1,16,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",-5,7,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-10-25,2017,3059318,1610612755,400974808,1,2,03,1,"Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",-2,-5,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-02,2017,3059318,1610612755,400975673,3,10,16,1,"Cutting Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",-7,16,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-22,2017,3059318,1610612755,400975819,2,1,43,1,"Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",2,4,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-05,2017,3059318,1610612755,400975315,1,6,44,1,"Cutting Dunk Shot","2PT Field Goal",0,"Detroit Pistons",1,9,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-24,2017,3059318,1610612755,400975630,3,3,35,1,"Cutting Dunk Shot","2PT Field Goal",1,"Orlando Magic",-11,4,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-12-02,2017,3059318,1610612755,400975081,4,11,46,1,"Cutting Layup Shot","2PT Field Goal",0,"Detroit Pistons",-2,8,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-22,2017,3059318,1610612755,400975819,1,0,33,1,"Cutting Layup Shot","2PT Field Goal",0,"Orlando Magic",-1,7,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-03,2017,3059318,1610612755,400975523,1,2,54,1,"Cutting Layup Shot","2PT Field Goal",1,"Indiana Pacers",1,10,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-13,2017,3059318,1610612755,400974951,1,2,01,1,"Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",0,24,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-13,2017,3059318,1610612755,400974951,4,1,18,1,"Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",-12,21,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-03,2017,3059318,1610612755,400974872,4,1,38,0,"Driving Dunk Shot","2PT Field Goal",2,"Indiana Pacers",-29,-3,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-12-12,2017,3059318,1610612755,400975152,1,8,51,1,"Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",2,1,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-24,2017,3059318,1610612755,400975630,2,0,38,1,"Driving Dunk Shot","2PT Field Goal",0,"Orlando Magic",-2,8,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-12-02,2017,3059318,1610612755,400975081,2,8,02,1,"Driving Dunk Shot","2PT Field Goal",0,"Detroit Pistons",5,8,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-28,2017,3059318,1610612755,400975482,3,0,53,0,"Driving Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",0,14,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-24,2017,3059318,1610612755,400975834,2,10,03,1,"Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",-3,1,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-06,2017,3059318,1610612755,400975548,3,0,07,1,"Driving Dunk Shot","2PT Field Goal",0,"Washington Wizards",-3,2,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-16,2017,3059318,1610612755,400975776,1,11,08,1,"Driving Dunk Shot","2PT Field Goal",1,"Brooklyn Nets",-2,10,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-10-18,2017,3059318,1610612755,400974439,3,4,35,1,"Driving Dunk Shot","2PT Field Goal",0,"Washington Wizards",-2,6,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-12-12,2017,3059318,1610612755,400975152,1,1,42,1,"Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",-8,5,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-10-23,2017,3059318,1610612755,400974792,3,10,59,1,"Driving Dunk Shot","2PT Field Goal",1,"Detroit Pistons",-1,13,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-12-23,2017,3059318,1610612755,400975231,3,8,48,1,"Driving Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,9,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-12-02,2017,3059318,1610612755,400975081,3,0,56,0,"Driving Dunk Shot","2PT Field Goal",1,"Detroit Pistons",-11,6,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-20,2017,3059318,1610612755,400975424,3,2,43,1,"Driving Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",-5,17,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-12-12,2017,3059318,1610612755,400975152,2,9,33,1,"Driving Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",-8,-10,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-26,2017,3059318,1610612755,400975851,3,10,46,1,"Driving Dunk Shot","2PT Field Goal",1,"Denver Nuggets",-6,15,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2017-11-13,2017,3059318,1610612755,400974951,2,3,51,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",7,10,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-02,2017,3059318,1610612755,400975516,1,0,48,1,"Driving Dunk Shot","2PT Field Goal",0,"Miami Heat",0,4,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-11,2017,3059318,1610612755,400975360,4,5,27,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Boston Celtics",-20,12,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-02-25,2017,3059318,1610612755,400975641,2,5,04,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Washington Wizards",-5,11,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-26,2017,3059318,1610612755,400975468,2,11,22,0,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"San Antonio Spurs",-2,4,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-20,2017,3059318,1610612755,400975424,3,1,06,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Milwaukee Bucks",-14,17,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-03-02,2017,3059318,1610612755,400975673,3,2,31,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Charlotte Hornets",-22,7,0,0.00,,0.00,0.00
"Joel Embiid","Philadelphia 76ers",2018-01-31,2017,3059318,1610612755,400975502,4,4,50,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Brooklyn Nets",-27,20,0,0.00,,0.00,0.00
