name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Damian Lillard","Portland Trail Blazers",2018-04-07,2017,6606,1610612757,400975942,3,3,09,1,"Cutting Dunk Shot","2PT Field Goal",2,"San Antonio Spurs",3,20,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-04-07,2017,6606,1610612757,400975942,3,6,26,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"San Antonio Spurs",3,10,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-10-20,2017,6606,1610612757,400974771,1,7,58,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Indiana Pacers",2,12,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-02,2017,6606,1610612757,400975084,3,4,49,1,"Cutting Layup Shot","2PT Field Goal",0,"New Orleans Pelicans",6,5,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-03-01,2017,6606,1610612757,400975671,3,0,50,1,"Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-9,5,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-11-02,2017,6606,1610612757,400974869,2,3,43,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-9,-5,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-05,2017,6606,1610612757,400975103,1,11,38,1,"Cutting Layup Shot","2PT Field Goal",3,"Washington Wizards",-29,21,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-01-16,2017,6606,1610612757,400975398,3,0,30,0,"Cutting Layup Shot","2PT Field Goal",1,"Phoenix Suns",-13,5,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-02-24,2017,6606,1610612757,400975635,2,0,52,1,"Cutting Layup Shot","2PT Field Goal",0,"Phoenix Suns",0,-6,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-01-10,2017,6606,1610612757,400975354,3,11,42,1,"Cutting Layup Shot","2PT Field Goal",2,"Houston Rockets",-25,1,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-02-09,2017,6606,1610612757,400975571,3,8,18,0,"Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",-25,16,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-01-18,2017,6606,1610612757,400975412,3,10,13,0,"Cutting Layup Shot","2PT Field Goal",1,"Indiana Pacers",-8,14,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-03-03,2017,6606,1610612757,400975687,4,5,03,0,"Cutting Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",8,3,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-02-14,2017,6606,1610612757,400975610,2,2,15,1,"Cutting Layup Shot","2PT Field Goal",0,"Golden State Warriors",3,4,0,0.00,,0.00,0.00
