name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kristaps Porzingis","New York Knicks",2017-10-30,2017,3102531,1610612752,400974845,3,2,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",-5,4,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-11-07,2017,3102531,1610612752,400974903,1,5,51,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",8,7,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-11-27,2017,3102531,1610612752,400975044,1,10,01,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Portland Trail Blazers",11,-4,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-11-05,2017,3102531,1610612752,400974893,1,8,32,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",-5,8,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-12-06,2017,3102531,1610612752,400975108,4,0,50,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Memphis Grizzlies",3,15,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-11-11,2017,3102531,1610612752,400974930,1,0,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",-8,0,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-12-12,2017,3102531,1610612752,400975150,1,1,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-9,1,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2018-01-02,2017,3102531,1610612752,400975296,3,10,15,0,"Alley Oop Layup shot","2PT Field Goal",1,"San Antonio Spurs",10,17,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2018-02-02,2017,3102531,1610612752,400975517,1,7,45,1,"Alley Oop Layup shot","2PT Field Goal",2,"Milwaukee Bucks",-13,17,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2018-02-02,2017,3102531,1610612752,400975517,2,5,15,1,"Cutting Dunk Shot","2PT Field Goal",2,"Milwaukee Bucks",-6,26,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-11-03,2017,3102531,1610612752,400974875,1,4,10,1,"Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",-4,0,0,0.00,,0.00,0.00
"Kristaps Porzingis","New York Knicks",2017-12-30,2017,3102531,1610612752,400975278,4,1,02,1,"Cutting Dunk Shot","2PT Field Goal",3,"New Orleans Pelicans",6,31,0,0.00,,0.00,0.00
