name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Anthony Davis","New Orleans Pelicans",2018-01-12,2017,6583,1610612740,400975370,4,4,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",-2,-6,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-01-12,2017,6583,1610612740,400975370,2,3,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",-3,-6,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-12-27,2017,6583,1610612740,400975257,4,10,06,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Brooklyn Nets",-2,10,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-04-09,2017,6583,1610612740,400975958,3,5,11,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",7,10,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-01-22,2017,6583,1610612740,400975438,4,0,22,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",2,9,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-11-07,2017,6583,1610612740,400974901,3,2,42,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",3,2,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-01-22,2017,6583,1610612740,400975438,3,6,00,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Chicago Bulls",3,10,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-01-14,2017,6583,1610612740,400975381,2,4,25,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",-8,10,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-02,2017,6583,1610612740,400975518,2,2,08,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",-6,8,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-23,2017,6583,1610612740,400975625,3,10,09,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Miami Heat",6,10,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-23,2017,6583,1610612740,400975625,5,1,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,3,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-02,2017,6583,1610612740,400975518,2,6,39,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",-3,18,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-23,2017,6583,1610612740,400975625,3,3,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,8,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-03-30,2017,6583,1610612740,400975877,2,1,19,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Cleveland Cavaliers",24,0,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-03-30,2017,6583,1610612740,400975877,3,5,49,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",-3,12,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-01-26,2017,6583,1610612740,400975466,1,3,11,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Houston Rockets",-9,-6,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-11-17,2017,6583,1610612740,400974977,2,1,43,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Denver Nuggets",-4,14,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-01-17,2017,6583,1610612740,400975400,4,3,49,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Atlanta Hawks",6,15,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-11-04,2017,6583,1610612740,400974884,4,1,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",3,-4,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-11-22,2017,6583,1610612740,400975013,2,0,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",-2,0,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-12-30,2017,6583,1610612740,400975278,1,4,57,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"New York Knicks",-5,26,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-04-11,2017,6583,1610612740,400975972,4,9,24,1,"Alley Oop Dunk Shot","2PT Field Goal",4,"San Antonio Spurs",-16,41,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-11-22,2017,6583,1610612740,400975013,3,0,59,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",-1,5,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-14,2017,6583,1610612740,400975608,1,6,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-7,6,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-03-22,2017,6583,1610612740,400975821,4,5,32,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Los Angeles Lakers",-8,29,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-03-27,2017,6583,1610612740,400975858,2,6,21,1,"Alley Oop Dunk Shot","2PT Field Goal",5,"Portland Trail Blazers",-31,51,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-02,2017,6583,1610612740,400975518,3,7,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",3,-1,0,0.00,,0.00,0.00
