name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Paul George","Oklahoma City Thunder",2017-12-13,2017,4251,1610612760,400975155,2,3,10,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Indiana Pacers",-3,15,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-13,2017,4251,1610612760,400975375,2,1,30,1,"Alley Oop Layup shot","2PT Field Goal",0,"Charlotte Hornets",0,5,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-05,2017,4251,1610612760,400974895,2,1,50,1,"Alley Oop Layup shot","2PT Field Goal",1,"Portland Trail Blazers",13,8,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-17,2017,4251,1610612760,400975406,1,5,20,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-2,1,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-14,2017,4251,1610612760,400975607,4,3,26,1,"Cutting Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",1,5,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-06,2017,4251,1610612760,400975549,3,4,40,1,"Cutting Dunk Shot","2PT Field Goal",0,"Golden State Warriors",5,8,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-09,2017,4251,1610612760,400975346,2,6,22,1,"Cutting Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",3,7,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-19,2017,4251,1610612760,400974441,2,0,59,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"New York Knicks",-10,6,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-11,2017,4251,1610612760,400975585,1,8,12,1,"Cutting Layup Shot","2PT Field Goal",0,"Memphis Grizzlies",-5,-5,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-04,2017,4251,1610612760,400975313,3,10,09,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",-9,6,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-01,2017,4251,1610612760,400975075,1,5,02,1,"Cutting Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",8,4,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-22,2017,4251,1610612760,400974790,1,5,49,1,"Cutting Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",-3,1,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-25,2017,4251,1610612760,400975846,1,5,22,0,"Cutting Layup Shot","2PT Field Goal",4,"Portland Trail Blazers",26,33,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-22,2017,4251,1610612760,400974790,2,3,30,0,"Cutting Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",3,6,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-01,2017,4251,1610612760,400975896,3,9,14,0,"Cutting Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",-18,17,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-31,2017,0,1610612760,0,1,8,05,1,"Cutting Layup Shot","2PT Field Goal",1,"Dallas Mavericks",17,10,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-25,2017,4251,1610612760,400974448,1,10,00,0,"Cutting Layup Shot","2PT Field Goal",1,"Houston Rockets",17,5,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-24,2017,4251,1610612760,400975024,3,9,51,1,"Cutting Layup Shot","2PT Field Goal",0,"Detroit Pistons",-1,6,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-27,2017,4251,1610612760,400975258,2,5,55,1,"Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",8,4,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-03,2017,4251,1610612760,400975909,1,10,30,1,"Cutting Layup Shot","2PT Field Goal",0,"Golden State Warriors",-4,3,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-28,2017,4251,1610612760,400975482,1,2,50,1,"Cutting Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",6,-2,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-21,2017,4251,1610612760,400974787,2,2,28,1,"Driving Dunk Shot","2PT Field Goal",1,"Utah Jazz",5,19,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-16,2017,4251,1610612760,400975778,3,8,36,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",-3,2,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-28,2017,4251,1610612760,400975482,3,11,27,1,"Driving Dunk Shot","2PT Field Goal",1,"Philadelphia 76ers",8,13,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-01,2017,4251,1610612760,400975511,3,10,19,1,"Driving Dunk Shot","2PT Field Goal",2,"Denver Nuggets",-3,22,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-26,2017,4251,1610612760,400975649,2,2,27,1,"Driving Dunk Shot","2PT Field Goal",0,"Orlando Magic",3,4,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-11,2017,4251,1610612760,400975145,4,7,56,0,"Driving Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",8,11,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-11,2017,4251,1610612760,400975973,4,2,41,1,"Driving Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",-3,2,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-03,2017,4251,1610612760,400975088,2,10,38,0,"Driving Dunk Shot","2PT Field Goal",1,"San Antonio Spurs",-9,13,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-18,2017,4251,1610612760,400975792,1,0,31,1,"Driving Dunk Shot","2PT Field Goal",0,"Toronto Raptors",-8,-5,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-29,2017,4251,1610612760,400975872,4,11,45,0,"Driving Dunk Shot","2PT Field Goal",2,"San Antonio Spurs",-1,22,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-12,2017,4251,1610612760,400974942,4,4,31,1,"Driving Dunk Shot","2PT Field Goal",1,"Dallas Mavericks",-1,13,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-23,2017,4251,1610612760,400975830,2,11,12,1,"Driving Dunk Shot","2PT Field Goal",0,"Miami Heat",-4,-2,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-03,2017,4251,1610612760,400974880,4,4,33,1,"Driving Dunk Shot","2PT Field Goal",1,"Boston Celtics",6,13,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-20,2017,4251,1610612760,400975211,3,8,19,1,"Driving Dunk Shot","2PT Field Goal",0,"Utah Jazz",-3,4,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-03,2017,4251,1610612760,400975687,3,6,58,1,"Driving Dunk Shot","2PT Field Goal",1,"Portland Trail Blazers",-12,0,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-12,2017,4251,1610612760,400974942,3,9,10,1,"Driving Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",-1,0,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-09,2017,4251,1610612760,400974919,2,6,00,0,"Driving Finger Roll Layup Shot","2PT Field Goal",5,"Denver Nuggets",-41,31,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-05,2017,4251,1610612760,400975102,1,1,18,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Utah Jazz",-3,1,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-28,2017,4251,1610612760,400975665,3,9,29,1,"Driving Floating Bank Jump Shot","2PT Field Goal",3,"Dallas Mavericks",29,25,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-28,2017,4251,1610612760,400975665,1,8,56,1,"Driving Floating Bank Jump Shot","2PT Field Goal",5,"Dallas Mavericks",-51,21,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-04,2017,4251,1610612760,400975313,2,9,59,1,"Driving Floating Bank Jump Shot","2PT Field Goal",7,"Los Angeles Clippers",48,63,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-18,2017,4251,1610612760,400975792,1,4,31,1,"Driving Floating Bank Jump Shot","2PT Field Goal",11,"Toronto Raptors",-108,40,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-03,2017,4251,1610612760,400975909,2,7,53,0,"Driving Floating Bank Jump Shot","2PT Field Goal",5,"Golden State Warriors",40,41,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-19,2017,4251,1610612760,400974441,2,4,09,0,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"New York Knicks",18,19,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-18,2017,4251,1610612760,400975792,2,3,44,1,"Driving Floating Bank Jump Shot","2PT Field Goal",9,"Toronto Raptors",94,32,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-20,2017,4251,1610612760,400975420,1,9,04,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Cleveland Cavaliers",38,92,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-20,2017,4251,1610612760,400975805,1,11,43,0,"Driving Floating Jump Shot","2PT Field Goal",4,"Boston Celtics",-9,40,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-13,2017,4251,1610612760,400975596,1,7,47,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Cleveland Cavaliers",-44,50,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-01,2017,4251,1610612760,400975075,1,7,14,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Minnesota Timberwolves",0,42,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-28,2017,4251,1610612760,400975482,1,11,43,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Philadelphia 76ers",-41,48,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-09,2017,4251,1610612760,400975346,2,3,25,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",-5,46,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-01,2017,4251,1610612760,400975075,1,7,06,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Minnesota Timberwolves",1,55,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-01,2017,4251,1610612760,400975075,4,1,29,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Minnesota Timberwolves",37,84,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-12,2017,4251,1610612760,400974942,4,7,14,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Dallas Mavericks",-12,76,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-20,2017,4251,1610612760,400975420,1,1,46,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Cleveland Cavaliers",-8,87,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-01,2017,4251,1610612760,400975896,3,0,59,1,"Driving Floating Jump Shot","2PT Field Goal",8,"New Orleans Pelicans",64,58,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-30,2017,4251,1610612760,400975879,2,3,27,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Denver Nuggets",-21,52,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-20,2017,4251,1610612760,400975805,1,8,37,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Boston Celtics",14,77,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-03,2017,4251,1610612760,400975909,2,8,54,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Golden State Warriors",8,55,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-05,2017,4251,1610612760,400974895,1,6,34,0,"Driving Floating Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",0,46,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-25,2017,4251,1610612760,400974811,4,7,56,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Indiana Pacers",-65,27,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-17,2017,4251,1610612760,400975406,2,1,49,0,"Driving Floating Jump Shot","2PT Field Goal",1,"Los Angeles Lakers",1,17,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-31,2017,0,1610612760,0,2,1,28,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Dallas Mavericks",2,69,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-22,2017,4251,1610612760,400975228,1,10,04,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Atlanta Hawks",-32,44,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-22,2017,4251,1610612760,400975617,3,5,01,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Sacramento Kings",62,62,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-11,2017,4251,1610612760,400975973,2,11,25,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Memphis Grizzlies",58,19,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-03,2017,4251,1610612760,400974880,2,4,11,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Boston Celtics",-51,39,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-16,2017,4251,1610612760,400975182,3,7,43,1,"Driving Floating Jump Shot","2PT Field Goal",11,"New York Knicks",31,110,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-22,2017,4251,1610612760,400975014,4,9,25,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Golden State Warriors",-3,83,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-22,2017,4251,1610612760,400974790,3,10,58,0,"Driving Hook Shot","2PT Field Goal",5,"Minnesota Timberwolves",-5,53,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-27,2017,4251,1610612760,400975258,2,9,36,1,"Driving Layup Shot","2PT Field Goal",1,"Toronto Raptors",11,9,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-15,2017,0,1610612760,0,1,3,49,1,"Driving Layup Shot","2PT Field Goal",0,"Chicago Bulls",9,1,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-25,2017,4251,1610612760,400974811,1,6,41,1,"Driving Layup Shot","2PT Field Goal",1,"Indiana Pacers",13,10,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-08,2017,4251,1610612760,400975562,2,0,35,0,"Driving Layup Shot","2PT Field Goal",3,"Los Angeles Lakers",21,34,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-05,2017,4251,1610612760,400975102,4,1,50,1,"Driving Layup Shot","2PT Field Goal",0,"Utah Jazz",0,6,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-23,2017,4251,1610612760,400975443,4,3,02,0,"Driving Layup Shot","2PT Field Goal",2,"Brooklyn Nets",24,5,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-31,2017,4251,1610612760,400974854,1,9,40,0,"Driving Layup Shot","2PT Field Goal",1,"Milwaukee Bucks",1,10,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-25,2017,4251,1610612760,400975457,3,10,22,0,"Driving Layup Shot","2PT Field Goal",5,"Washington Wizards",-29,49,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-12,2017,4251,1610612760,400974942,1,8,08,1,"Driving Layup Shot","2PT Field Goal",0,"Dallas Mavericks",5,-2,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-13,2017,4251,1610612760,400975596,4,9,17,0,"Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",10,2,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-25,2017,4251,1610612760,400975457,1,3,42,1,"Driving Layup Shot","2PT Field Goal",0,"Washington Wizards",-8,0,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-03,2017,4251,1610612760,400975088,4,9,04,0,"Driving Layup Shot","2PT Field Goal",3,"San Antonio Spurs",-10,37,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-20,2017,4251,1610612760,400975211,4,10,28,1,"Driving Layup Shot","2PT Field Goal",1,"Utah Jazz",11,3,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-03,2017,4251,1610612760,400975088,4,1,05,0,"Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",1,15,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-13,2017,4251,1610612760,400975375,1,1,14,0,"Driving Layup Shot","2PT Field Goal",6,"Charlotte Hornets",-19,59,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-03,2017,4251,1610612760,400975088,1,2,27,0,"Driving Layup Shot","2PT Field Goal",3,"San Antonio Spurs",19,25,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-28,2017,4251,1610612760,400975665,1,7,08,0,"Driving Layup Shot","2PT Field Goal",3,"Dallas Mavericks",-32,21,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-22,2017,4251,1610612760,400974790,1,8,00,1,"Driving Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",-5,4,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-28,2017,4251,1610612760,400974830,3,10,44,1,"Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",20,6,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-28,2017,4251,1610612760,400975482,3,10,55,1,"Driving Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",-6,10,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-10-22,2017,4251,1610612760,400974790,3,5,11,1,"Driving Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",-9,18,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-28,2017,4251,1610612760,400975482,1,6,26,0,"Driving Layup Shot","2PT Field Goal",4,"Philadelphia 76ers",-41,1,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-03,2017,4251,1610612760,400975088,4,10,51,0,"Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-4,10,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-01,2017,4251,1610612760,400975896,1,0,37,1,"Driving Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",24,11,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-01-30,2017,4251,1610612760,400975490,3,2,21,1,"Driving Layup Shot","2PT Field Goal",0,"Washington Wizards",-2,1,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-09,2017,4251,1610612760,,1,10,09,0,"Driving Layup Shot","2PT Field Goal",1,"Miami Heat",-9,12,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-09,2017,4251,1610612760,,3,10,43,1,"Driving Layup Shot","2PT Field Goal",2,"Miami Heat",12,17,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-20,2017,4251,1610612760,400975805,1,1,32,0,"Driving Layup Shot","2PT Field Goal",2,"Boston Celtics",-18,21,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-20,2017,4251,1610612760,400975805,1,2,24,0,"Driving Layup Shot","2PT Field Goal",3,"Boston Celtics",17,26,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-06,2017,4251,1610612760,400975549,2,10,11,1,"Driving Layup Shot","2PT Field Goal",5,"Golden State Warriors",36,38,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-11-29,2017,4251,1610612760,400975055,4,5,29,1,"Driving Layup Shot","2PT Field Goal",2,"Orlando Magic",-4,29,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2017-12-22,2017,4251,1610612760,400975228,2,7,33,0,"Driving Layup Shot","2PT Field Goal",0,"Atlanta Hawks",6,1,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-03-20,2017,4251,1610612760,400975805,1,10,59,0,"Driving Layup Shot","2PT Field Goal",2,"Boston Celtics",-15,21,0,0.00,,0.00,0.00
