name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Blake Griffin","Detroit Pistons",2018-03-20,2017,3989,1610612765,400975809,3,1,01,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",-2,2,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-27,2017,3989,1610612746,400975048,4,8,59,0,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Lakers",-7,23,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-02,2017,3989,1610612746,400975299,3,9,21,0,"Alley Oop Layup shot","2PT Field Goal",0,"Memphis Grizzlies",-3,8,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-22,2017,3989,1610612746,400975441,2,0,58,1,"Cutting Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",5,14,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-24,2017,3989,1610612746,400975455,1,1,46,0,"Cutting Dunk Shot","2PT Field Goal",0,"Boston Celtics",-3,8,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-11,2017,3989,1610612746,400975362,1,6,46,1,"Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",-3,8,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-04,2017,3989,1610612746,400975313,1,8,58,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",-4,9,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-02,2017,3989,1610612746,400975299,1,7,51,1,"Cutting Dunk Shot","2PT Field Goal",2,"Memphis Grizzlies",3,21,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-02,2017,3989,1610612746,400975299,1,2,30,1,"Cutting Dunk Shot","2PT Field Goal",1,"Memphis Grizzlies",6,11,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-20,2017,3989,1610612746,400975427,3,5,18,1,"Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",4,8,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-27,2017,3989,1610612746,400975048,1,1,55,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",3,8,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-12-31,2017,0,1610612746,0,3,4,59,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Charlotte Hornets",3,10,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-02-25,2017,3989,1610612765,400975638,2,4,28,1,"Cutting Layup Shot","2PT Field Goal",2,"Charlotte Hornets",0,21,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-25,2017,3989,1610612746,400975037,2,3,07,1,"Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",-23,17,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-22,2017,3989,1610612746,400975441,4,7,19,1,"Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-9,12,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-20,2017,3989,1610612746,400975427,4,4,01,1,"Cutting Layup Shot","2PT Field Goal",2,"Utah Jazz",9,22,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-18,2017,3989,1610612746,400974979,3,3,45,1,"Cutting Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-9,10,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-13,2017,3989,1610612746,400974951,3,6,18,1,"Cutting Layup Shot","2PT Field Goal",2,"Philadelphia 76ers",14,21,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-22,2017,3989,1610612746,400975441,3,7,58,1,"Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-14,5,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-03-17,2017,3989,1610612765,400975791,2,8,03,1,"Cutting Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",-3,9,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-02,2017,3989,1610612746,400975299,4,1,10,1,"Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",-5,11,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-02,2017,3989,1610612746,400975299,1,5,05,1,"Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",7,20,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-17,2017,3989,1610612746,400975408,1,10,07,1,"Cutting Layup Shot","2PT Field Goal",1,"Denver Nuggets",9,14,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-02-03,2017,3989,1610612765,400975522,2,6,12,1,"Cutting Layup Shot","2PT Field Goal",1,"Miami Heat",0,12,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-03-03,2017,3989,1610612765,400975684,2,2,06,1,"Cutting Layup Shot","2PT Field Goal",4,"Miami Heat",26,34,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-24,2017,3989,1610612746,400975455,1,11,08,0,"Cutting Layup Shot","2PT Field Goal",2,"Boston Celtics",8,22,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-10-28,2017,3989,1610612746,400974835,2,1,56,0,"Cutting Layup Shot","2PT Field Goal",1,"Detroit Pistons",-14,0,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-17,2017,3989,1610612746,400975408,1,3,38,1,"Driving Dunk Shot","2PT Field Goal",1,"Denver Nuggets",3,11,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-27,2017,3989,1610612746,400975048,4,5,48,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",3,2,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-10-19,2017,3989,1610612746,400974442,1,1,35,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-1,0,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-20,2017,3989,1610612746,400974996,2,0,00,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",3,3,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-12-31,2017,0,1610612746,0,3,6,40,1,"Driving Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",4,10,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-11-05,2017,3989,1610612746,400974888,2,0,02,1,"Driving Dunk Shot","2PT Field Goal",0,"Miami Heat",-5,6,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-03-05,2017,3989,1610612765,400975696,2,1,14,1,"Driving Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",2,11,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-02-03,2017,3989,1610612765,400975522,2,1,43,1,"Driving Dunk Shot","2PT Field Goal",0,"Miami Heat",-1,6,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-26,2017,3989,1610612746,400975464,3,2,16,1,"Driving Dunk Shot","2PT Field Goal",1,"Memphis Grizzlies",6,11,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-10-24,2017,3989,1610612746,400974805,1,5,46,1,"Driving Dunk Shot","2PT Field Goal",2,"Utah Jazz",-22,-5,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-02-01,2017,3989,1610612765,400975507,3,9,11,1,"Driving Dunk Shot","2PT Field Goal",2,"Memphis Grizzlies",-20,9,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-22,2017,3989,1610612746,400975441,4,6,42,1,"Driving Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",-9,12,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-13,2017,3989,1610612746,400975374,2,4,37,1,"Driving Dunk Shot","2PT Field Goal",2,"Sacramento Kings",16,14,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-03-26,2017,3989,1610612765,400975850,4,7,39,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,8,0,0.00,,0.00,0.00
