name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dwight Howard","Charlotte Hornets",2018-02-27,2017,2384,1610612766,400975653,1,11,07,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Chicago Bulls",-7,12,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-12-06,2017,2384,1610612766,400975109,3,7,56,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Golden State Warriors",-3,13,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-27,2017,2384,1610612766,400975653,1,6,29,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Chicago Bulls",-9,8,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-10-29,2017,2384,1610612766,400974839,3,6,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",5,-7,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-01-20,2017,2384,1610612766,400975422,1,4,44,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Miami Heat",-6,11,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-01-17,2017,2384,1610612766,400975399,3,2,38,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Washington Wizards",11,11,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-12-16,2017,2384,1610612766,400975180,1,3,41,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",3,6,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-01-20,2017,2384,1610612766,400975422,3,4,21,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Miami Heat",0,11,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-27,2017,2384,1610612766,400975653,3,11,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",1,9,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-10-29,2017,2384,1610612766,400974839,2,2,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",-1,5,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-11-18,2017,2384,1610612766,400974979,2,6,20,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",4,13,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-12-20,2017,2384,1610612766,400975205,3,4,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",-3,6,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-01-29,2017,2384,1610612766,400975484,2,5,27,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Indiana Pacers",1,14,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-03-24,2017,2384,1610612766,400975839,4,3,58,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",-2,4,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-11-03,2017,2384,1610612766,400974877,3,7,03,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"San Antonio Spurs",-2,17,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-11,2017,2384,1610612766,400975579,1,9,29,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Toronto Raptors",-7,22,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-12-09,2017,2384,1610612766,400975128,1,4,37,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",4,8,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-01-29,2017,2384,1610612766,400975484,2,3,21,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",1,9,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-23,2017,2384,1610612766,400975621,1,9,03,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Washington Wizards",-18,25,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-11,2017,2384,1610612766,400975579,1,11,51,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Toronto Raptors",-6,11,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-03-02,2017,2384,1610612766,400975673,1,9,36,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Philadelphia 76ers",2,11,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-25,2017,2384,1610612766,400975638,3,4,20,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Detroit Pistons",-11,5,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-11-20,2017,2384,1610612766,400974992,2,2,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",4,8,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-14,2017,2384,1610612766,400975600,3,6,40,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Orlando Magic",-2,27,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-14,2017,2384,1610612766,400975600,1,9,55,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Orlando Magic",4,21,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-05,2017,2384,1610612766,400975540,1,6,09,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Denver Nuggets",1,25,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-02-14,2017,2384,1610612766,400975600,3,2,41,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Orlando Magic",3,19,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-11-03,2017,2384,1610612766,400974877,1,6,59,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"San Antonio Spurs",13,11,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-03-17,2017,2384,1610612766,400975784,1,7,03,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",-6,16,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2018-03-21,2017,2384,1610612766,0,3,2,38,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Brooklyn Nets",-3,22,0,0.00,,0.00,0.00
"Dwight Howard","Charlotte Hornets",2017-11-05,2017,2384,1610612766,400974894,1,10,54,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",2,2,0,0.00,,0.00,0.00
