name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kyrie Irving","Boston Celtics",2017-11-24,2017,6442,1610612738,400975020,1,8,47,1,"Alley Oop Layup shot","2PT Field Goal",0,"Orlando Magic",-1,-1,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-12-25,2017,6442,1610612738,400974447,1,5,11,1,"Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",-2,4,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-11-01,2017,6442,1610612738,400974860,1,11,21,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Sacramento Kings",-6,9,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-12-06,2017,6442,1610612738,400975107,3,8,28,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",4,"Dallas Mavericks",33,24,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-12-16,2017,6442,1610612738,400975187,2,5,43,1,"Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",7,8,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2018-02-28,2017,6442,1610612738,400975662,2,4,18,1,"Cutting Layup Shot","2PT Field Goal",4,"Charlotte Hornets",20,42,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-12-21,2017,6442,1610612738,400975219,1,7,55,1,"Cutting Layup Shot","2PT Field Goal",1,"New York Knicks",3,18,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2018-01-24,2017,6442,1610612738,400975455,1,3,57,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",-2,19,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-11-06,2017,6442,1610612738,400974897,4,2,48,1,"Cutting Layup Shot","2PT Field Goal",1,"Atlanta Hawks",2,15,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2018-01-29,2017,6442,1610612738,400975489,2,7,12,1,"Cutting Layup Shot","2PT Field Goal",2,"Denver Nuggets",18,15,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-12-16,2017,6442,1610612738,400975187,3,5,19,1,"Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",-12,4,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-11-16,2017,6442,1610612738,400974966,4,4,21,1,"Cutting Layup Shot","2PT Field Goal",1,"Golden State Warriors",6,14,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-10-26,2017,6442,1610612738,400974818,4,2,05,1,"Cutting Layup Shot","2PT Field Goal",2,"Milwaukee Bucks",-2,21,0,0.00,,0.00,0.00
