name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"LeBron James","Cleveland Cavaliers",2018-03-28,2017,1966,1610612739,400975862,2,6,10,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",-15,4,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-11-09,2017,1966,1610612739,400974917,1,10,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,3,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-11-13,2017,1966,1610612739,400974944,1,0,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",-3,-2,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-25,2017,1966,1610612739,400975840,4,4,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",-3,7,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-10-20,2017,1966,1610612739,400974443,2,2,09,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",6,11,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-27,2017,1966,1610612739,400975856,3,0,59,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Miami Heat",-10,11,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-12-30,2017,1966,1610612739,400975280,2,11,13,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Utah Jazz",3,11,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-10-17,2017,1966,1610612739,400974437,4,2,24,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Boston Celtics",2,16,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-12-08,2017,1966,1610612739,400975120,2,2,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",2,9,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-25,2017,1966,1610612739,400975840,4,5,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",-7,4,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-12-21,2017,1966,1610612739,400975217,1,11,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",3,0,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-12-16,2017,1966,1610612739,400975181,1,0,58,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Utah Jazz",6,8,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-17,2017,1966,1610612739,400975785,1,8,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",4,1,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-23,2017,1966,1610612739,400975826,1,6,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",3,9,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-12-19,2017,1966,1610612739,400975204,1,4,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",-6,5,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-19,2017,1966,1610612739,400975796,3,7,42,1,"Alley Oop Layup shot","2PT Field Goal",0,"Milwaukee Bucks",6,-5,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-04-09,2017,1966,1610612739,400975953,3,3,59,0,"Alley Oop Layup shot","2PT Field Goal",0,"New York Knicks",2,-1,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-28,2017,1966,1610612739,400975862,2,6,39,1,"Alley Oop Layup shot","2PT Field Goal",0,"Charlotte Hornets",3,6,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-10-29,2017,1966,1610612739,400974841,2,11,45,1,"Alley Oop Layup shot","2PT Field Goal",0,"New York Knicks",-2,5,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-10-21,2017,1966,1610612739,400974779,3,11,46,0,"Alley Oop Layup shot","2PT Field Goal",3,"Orlando Magic",0,35,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-12-09,2017,1966,1610612739,400975130,1,6,22,1,"Alley Oop Layup shot","2PT Field Goal",1,"Philadelphia 76ers",13,15,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-10-21,2017,1966,1610612739,400974779,1,9,21,0,"Alley Oop Layup shot","2PT Field Goal",0,"Orlando Magic",9,1,0,0.00,,0.00,0.00
