name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"DeAndre Jordan","LA Clippers",2017-12-13,2017,3442,1610612746,400975156,1,1,53,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Orlando Magic",-1,18,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-03,2017,3442,1610612746,400975087,2,2,09,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",3,17,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-03,2017,3442,1610612746,400975087,4,3,25,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",1,14,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-03,2017,3442,1610612746,400975087,2,8,06,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",8,16,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-13,2017,3442,1610612746,400975156,3,1,54,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Orlando Magic",1,13,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-20,2017,3442,1610612746,400975806,2,3,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",-1,0,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-20,2017,3442,1610612746,400975806,1,1,03,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",2,10,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-27,2017,3442,1610612746,400975048,1,9,45,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Lakers",8,25,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-10-21,2017,3442,1610612746,400974788,2,8,04,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Phoenix Suns",-11,5,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-05,2017,3442,1610612746,400974888,1,3,26,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Miami Heat",3,16,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-20,2017,3442,1610612746,400974996,3,7,44,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",3,17,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-20,2017,3442,1610612746,400974996,2,1,02,0,"Alley Oop Dunk Shot","2PT Field Goal",2,"New York Knicks",9,21,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-22,2017,3442,1610612746,400975226,2,4,54,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",-3,0,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-22,2017,3442,1610612746,400975226,1,10,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",-3,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-04-05,2017,3442,1610612746,400975925,1,4,01,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Utah Jazz",23,21,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-04-05,2017,3442,1610612746,400975925,1,4,51,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Utah Jazz",-9,13,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-21,2017,3442,1610612746,0,1,1,06,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",-4,14,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-29,2017,3442,1610612746,400975275,3,2,25,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Lakers",1,20,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-29,2017,3442,1610612746,400975275,3,6,10,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Lakers",16,24,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-29,2017,3442,1610612746,400975275,3,3,57,0,"Alley Oop Dunk Shot","2PT Field Goal",3,"Los Angeles Lakers",18,27,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-29,2017,3442,1610612746,400975275,2,7,12,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Lakers",-7,20,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-04-05,2017,3442,1610612746,400975925,3,7,32,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Utah Jazz",-11,23,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-01-24,2017,3442,1610612746,400975455,1,5,00,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Boston Celtics",4,11,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-01-24,2017,3442,1610612746,400975455,2,3,20,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Boston Celtics",-2,17,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-13,2017,3442,1610612746,400975156,4,5,16,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Orlando Magic",-3,22,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-13,2017,3442,1610612746,400975156,2,2,52,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Orlando Magic",4,32,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-02,2017,3442,1610612746,400975681,2,7,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",-3,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-02,2017,3442,1610612746,400975681,3,5,03,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",-1,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-21,2017,3442,1610612746,0,1,5,14,0,"Alley Oop Dunk Shot","2PT Field Goal",2,"Milwaukee Bucks",11,25,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-10-30,2017,3442,1610612746,400974851,2,11,34,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Golden State Warriors",16,5,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-10-30,2017,3442,1610612746,400974851,2,5,15,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Golden State Warriors",9,19,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-07,2017,3442,1610612746,400974905,4,3,33,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"San Antonio Spurs",26,5,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-07,2017,3442,1610612746,400974905,1,6,15,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"San Antonio Spurs",-8,22,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-01-08,2017,3442,1610612746,400975344,2,7,06,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Atlanta Hawks",-3,12,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-31,2017,0,1610612746,0,1,4,27,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",-9,15,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-06,2017,3442,1610612746,400975113,4,5,45,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",13,8,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-06,2017,3442,1610612746,400975113,1,6,05,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",-6,11,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-06,2017,3442,1610612746,400975113,1,3,25,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",8,11,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-30,2017,3442,1610612746,400975883,1,6,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",5,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-03-30,2017,3442,1610612746,400975883,1,4,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-17,2017,3442,1610612746,400974971,2,4,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",3,-6,0,0.00,,0.00,0.00
