name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Chris Paul","Houston Rockets",2018-01-12,2017,2779,1610612745,400975372,3,7,28,1,"Cutting Layup Shot","2PT Field Goal",0,"Phoenix Suns",3,8,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-10,2017,2779,1610612745,400975354,4,0,12,1,"Cutting Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",18,16,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-11-16,2017,2779,1610612745,400974967,1,8,28,1,"Cutting Layup Shot","2PT Field Goal",3,"Phoenix Suns",-36,11,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-02-14,2017,2779,1610612745,400975606,2,11,48,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Sacramento Kings",3,15,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-02-25,2017,2779,1610612745,400975642,2,10,59,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Denver Nuggets",14,5,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-03-20,2017,2779,1610612745,400975810,2,0,24,0,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Portland Trail Blazers",22,21,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-11-18,2017,2779,1610612745,400974983,3,9,25,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",0,10,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-04,2017,2779,1610612745,400975312,2,1,33,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Golden State Warriors",-1,12,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-11,2017,2779,1610612745,400975143,4,11,26,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",16,13,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-12,2017,2779,1610612745,400975372,2,2,42,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Phoenix Suns",9,8,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-04-05,2017,2779,1610612745,400975923,2,8,38,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Portland Trail Blazers",27,16,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-11,2017,2779,1610612745,400975143,3,1,34,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",8,14,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-02-01,2017,2779,1610612745,400975510,3,8,07,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"San Antonio Spurs",0,18,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-04-10,2017,2779,1610612745,400975964,4,7,04,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",-2,20,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-18,2017,2779,1610612745,400975411,3,1,28,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Minnesota Timberwolves",7,30,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-28,2017,2779,1610612745,400975478,2,10,06,1,"Driving Floating Bank Jump Shot","2PT Field Goal",6,"Phoenix Suns",51,47,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-04-05,2017,2779,1610612745,400975923,4,0,00,1,"Driving Floating Bank Jump Shot","2PT Field Goal",3,"Portland Trail Blazers",35,16,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-31,2017,0,1610612745,0,5,1,31,0,"Driving Floating Jump Shot","2PT Field Goal",7,"Los Angeles Lakers",-25,68,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-09,2017,2779,1610612745,400975135,2,4,52,1,"Driving Floating Jump Shot","2PT Field Goal",10,"Portland Trail Blazers",-32,96,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-13,2017,2779,1610612745,400975163,1,8,14,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Charlotte Hornets",-8,67,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-13,2017,2779,1610612745,400975163,2,4,25,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Charlotte Hornets",-23,42,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-02-03,2017,2779,1610612745,400975525,3,6,26,1,"Driving Floating Jump Shot","2PT Field Goal",8,"Cleveland Cavaliers",-12,89,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-09,2017,2779,1610612745,400975135,3,0,29,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Portland Trail Blazers",58,67,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-13,2017,2779,1610612745,400975163,3,7,52,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Charlotte Hornets",1,57,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-12,2017,2779,1610612745,400975372,3,1,46,0,"Driving Floating Jump Shot","2PT Field Goal",11,"Phoenix Suns",97,60,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-09,2017,2779,1610612745,400975135,2,5,46,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Portland Trail Blazers",2,52,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-31,2017,0,1610612745,0,2,9,30,1,"Driving Floating Jump Shot","2PT Field Goal",14,"Los Angeles Lakers",44,137,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-20,2017,2779,1610612745,400975425,3,0,53,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Golden State Warriors",-20,61,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-04,2017,2779,1610612745,400975312,3,9,49,0,"Driving Floating Jump Shot","2PT Field Goal",13,"Golden State Warriors",121,50,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-12,2017,2779,1610612745,400975372,2,10,27,1,"Driving Floating Jump Shot","2PT Field Goal",10,"Phoenix Suns",-14,106,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-02-07,2017,2779,1610612745,400975552,2,0,33,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Miami Heat",-18,60,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-09,2017,2779,1610612745,400975135,3,10,37,0,"Driving Floating Jump Shot","2PT Field Goal",10,"Portland Trail Blazers",41,96,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-11-29,2017,2779,1610612745,400975059,1,0,00,0,"Driving Floating Jump Shot","2PT Field Goal",21,"Indiana Pacers",113,178,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-04-05,2017,2779,1610612745,400975923,1,8,05,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Portland Trail Blazers",38,42,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-02-11,2017,2779,1610612745,400975583,2,4,42,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Dallas Mavericks",-1,43,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-10,2017,2779,1610612745,400975354,1,8,30,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Portland Trail Blazers",-80,8,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-03-20,2017,2779,1610612745,400975810,4,0,04,0,"Driving Floating Jump Shot","2PT Field Goal",11,"Portland Trail Blazers",59,94,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-03,2017,2779,1610612745,400975300,1,9,46,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Orlando Magic",16,67,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-03-03,2017,2779,1610612745,400975685,1,9,11,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Boston Celtics",36,68,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-02-01,2017,2779,1610612745,400975510,2,8,24,1,"Driving Floating Jump Shot","2PT Field Goal",6,"San Antonio Spurs",6,63,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-18,2017,2779,1610612745,400975411,4,4,06,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Minnesota Timberwolves",63,71,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-11-18,2017,2779,1610612745,400974983,3,6,08,0,"Driving Floating Jump Shot","2PT Field Goal",12,"Memphis Grizzlies",33,119,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-24,2017,2779,1610612745,400975452,1,1,12,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Dallas Mavericks",0,85,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-09,2017,2779,1610612745,400975135,4,4,11,1,"Driving Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",4,6,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-04-05,2017,2779,1610612745,400975923,1,8,40,1,"Driving Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",24,8,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-26,2017,2779,1610612745,400975466,4,8,00,1,"Driving Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",10,-3,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-01-20,2017,2779,1610612745,400975425,1,3,37,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",2,12,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2017-12-29,2017,2779,1610612745,400975267,4,8,36,0,"Driving Layup Shot","2PT Field Goal",1,"Washington Wizards",3,11,0,0.00,,0.00,0.00
