name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Klay Thompson","Golden State Warriors",2018-01-27,2017,6475,1610612744,400975474,2,10,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",6,-2,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2017-10-25,2017,6475,1610612744,400974814,2,7,35,1,"Alley Oop Layup shot","2PT Field Goal",1,"Toronto Raptors",6,11,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2018-01-30,2017,6475,1610612744,400975497,2,7,39,0,"Alley Oop Layup shot","2PT Field Goal",6,"Utah Jazz",27,57,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2017-11-19,2017,6475,1610612744,400974987,1,5,26,1,"Cutting Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",7,-5,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2018-04-01,2017,6475,1610612744,400975899,3,10,30,1,"Cutting Dunk Shot","2PT Field Goal",2,"Phoenix Suns",-1,25,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2018-04-01,2017,6475,1610612744,400975899,1,9,22,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Phoenix Suns",5,16,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2017-11-16,2017,6475,1610612744,400974966,1,5,59,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",3,"Boston Celtics",9,29,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2018-01-25,2017,6475,1610612744,400975459,1,10,51,1,"Cutting Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",-5,26,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2017-12-14,2017,6475,1610612744,400975168,2,11,19,0,"Cutting Layup Shot","2PT Field Goal",1,"Dallas Mavericks",-16,10,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2017-12-08,2017,6475,1610612744,400975119,1,9,03,1,"Cutting Layup Shot","2PT Field Goal",3,"Detroit Pistons",-36,15,0,0.00,,0.00,0.00
