name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"KarlAnthony Towns","Minnesota Timberwolves",2018-04-09,2017,3136195,1610612750,400975955,4,2,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",-2,7,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-12-12,2017,3136195,1610612750,400975152,4,6,06,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Philadelphia 76ers",-2,14,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-10-30,2017,3136195,1610612750,400974844,2,7,18,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Miami Heat",19,22,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-11-13,2017,3136195,1610612750,400974948,1,7,15,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Utah Jazz",-10,14,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-10-30,2017,3136195,1610612750,400974844,2,1,46,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Miami Heat",20,26,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-12-27,2017,3136195,1610612750,400975256,2,11,33,1,"Alley Oop Layup shot","2PT Field Goal",2,"Denver Nuggets",11,20,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2018-04-01,2017,3136195,1610612750,400975897,3,2,57,1,"Alley Oop Layup shot","2PT Field Goal",1,"Utah Jazz",-5,14,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2018-02-26,2017,3136195,1610612750,400975652,2,4,21,1,"Alley Oop Layup shot","2PT Field Goal",1,"Sacramento Kings",-1,15,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-10-30,2017,3136195,1610612750,400974844,1,6,41,1,"Cutting Dunk Shot","2PT Field Goal",3,"Miami Heat",-24,21,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-11-17,2017,3136195,1610612750,400974975,1,9,21,1,"Cutting Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",3,9,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-12-25,2017,3136195,1610612750,400974449,1,4,41,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-2,8,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-10-20,2017,3136195,1610612750,400974775,3,6,47,1,"Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",-6,1,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-10-22,2017,3136195,1610612750,400974790,3,8,42,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",5,3,0,0.00,,0.00,0.00
