name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Russell Westbrook","Oklahoma City Thunder",2018-03-16,2017,3468,1610612760,400975778,3,4,37,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",2,-1,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-28,2017,3468,1610612760,400974830,3,5,21,0,"Alley Oop Layup shot","2PT Field Goal",0,"Chicago Bulls",8,5,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-02-02,2017,3468,1610612760,400975518,3,6,32,0,"Cutting Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",-5,7,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-12-05,2017,3468,1610612760,400975102,2,6,49,1,"Cutting Dunk Shot","2PT Field Goal",1,"Utah Jazz",-9,6,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-27,2017,3468,1610612760,400974825,2,1,36,1,"Cutting Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",5,18,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-02-14,2017,3468,1610612760,400975607,3,5,33,0,"Cutting Dunk Shot","2PT Field Goal",1,"Memphis Grizzlies",1,17,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-02-13,2017,3468,1610612760,400975596,1,5,17,1,"Cutting Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",9,9,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-02-02,2017,3468,1610612760,400975518,2,5,05,1,"Cutting Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",2,4,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-02-04,2017,3468,1610612760,400975534,3,9,54,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-3,5,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-11-05,2017,3468,1610612760,400974895,4,0,06,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",5,1,0,0.00,,0.00,0.00
